2025-02-14 10:29:57,248 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:31:12,220 - root - INFO - 初始化完成 - File: main.py, Line: 12, Func: main
2025-02-14 10:31:12,833 - root - INFO - 摄像头已创建 - File: camera.py, Line: 14, Func: create
2025-02-14 10:31:12,833 - root - INFO - 摄像头已创建 - File: camera.py, Line: 14, Func: create
2025-02-14 10:31:12,834 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:31:12,834 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:31:12,834 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:48:10,817 - root - INFO - 初始化完成 - File: main.py, Line: 12, Func: main
2025-02-14 10:48:11,380 - root - INFO - 摄像头已创建 - File: camera.py, Line: 14, Func: create
2025-02-14 10:48:11,380 - root - INFO - 摄像头已创建 - File: camera.py, Line: 14, Func: create
2025-02-14 10:54:02,815 - root - INFO - 初始化完成 - File: main.py, Line: 12, Func: main
2025-02-14 10:54:03,419 - root - INFO - 摄像头已创建 - File: camera.py, Line: 15, Func: create
2025-02-14 10:54:03,419 - root - INFO - 摄像头已创建 - File: camera.py, Line: 15, Func: create
2025-02-14 10:54:03,419 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:54:03,419 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:54:03,419 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:58:38,468 - root - INFO - 初始化完成 - File: main.py, Line: 12, Func: main
2025-02-14 10:58:39,036 - root - INFO - 摄像头已创建 - File: camera.py, Line: 15, Func: create
2025-02-14 10:58:39,036 - root - INFO - 摄像头已创建 - File: camera.py, Line: 15, Func: create
2025-02-14 10:58:39,036 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:58:39,036 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 10:58:39,036 - root - INFO - 创建 人脸创建器 - File: face_detector.py, Line: 21, Func: __init__
2025-02-14 11:00:07,022 - root - INFO - 初始化完成 - File: main.py, Line: 12, Func: main
2025-02-14 11:00:07,586 - root - INFO - 摄像头已创建 - File: camera.py, Line: 15, Func: create
